backend,case_name,status,reason,dtype,algorithm,mode,k,n,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q03_k8_max,PASS,ok,double,bitonic,max,8,8,Trunc bitonic end-to-end time (ms),0.076,Trunc bitonic end-to-end time (ms),0.076,Trunc bitonic algorithmic time (ms),0.076,128,exact,24,exact
cpu,q04_k8_max,PASS,ok,double,bitonic,max,8,16,Trunc bitonic end-to-end time (ms),0.097,Trunc bitonic end-to-end time (ms),0.097,Trunc bitonic algorithmic time (ms),0.097,448,exact,68,exact
cpu,q05_k8_max,PASS,ok,double,bitonic,max,8,32,Trunc bitonic end-to-end time (ms),0.083,Trunc bitonic end-to-end time (ms),0.083,Trunc bitonic algorithmic time (ms),0.083,1088,exact,156,exact
cpu,q06_k8_max,PASS,ok,double,bitonic,max,8,64,Trunc bitonic end-to-end time (ms),0.086,Trunc bitonic end-to-end time (ms),0.086,Trunc bitonic algorithmic time (ms),0.086,2368,exact,332,exact
cpu,q07_k8_max,PASS,ok,double,bitonic,max,8,128,Trunc bitonic end-to-end time (ms),0.073,Trunc bitonic end-to-end time (ms),0.073,Trunc bitonic algorithmic time (ms),0.073,4928,exact,684,exact
cpu,q08_k8_max,PASS,ok,double,bitonic,max,8,256,Trunc bitonic end-to-end time (ms),0.07,Trunc bitonic end-to-end time (ms),0.07,Trunc bitonic algorithmic time (ms),0.07,10048,exact,1388,exact
cpu,q08_k256_max,PASS,ok,double,bitonic,max,256,256,Trunc bitonic end-to-end time (ms),0.073,Trunc bitonic end-to-end time (ms),0.073,Trunc bitonic algorithmic time (ms),0.073,4096,exact,4608,exact
cpu,q09_k8_max,PASS,ok,double,bitonic,max,8,512,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic algorithmic time (ms),0.071,20288,exact,2796,exact
cpu,q09_k256_max,PASS,ok,double,bitonic,max,256,512,Trunc bitonic end-to-end time (ms),0.081,Trunc bitonic end-to-end time (ms),0.081,Trunc bitonic algorithmic time (ms),0.081,18432,exact,10496,exact
cpu,q10_k8_max,PASS,ok,double,bitonic,max,8,1024,Trunc bitonic end-to-end time (ms),0.072,Trunc bitonic end-to-end time (ms),0.072,Trunc bitonic algorithmic time (ms),0.072,40768,exact,5612,exact
cpu,q10_k256_max,PASS,ok,double,bitonic,max,256,1024,Trunc bitonic end-to-end time (ms),0.087,Trunc bitonic end-to-end time (ms),0.087,Trunc bitonic algorithmic time (ms),0.087,47104,exact,22272,exact
cpu,q11_k8_max,PASS,ok,double,bitonic,max,8,2048,Trunc bitonic end-to-end time (ms),0.08,Trunc bitonic end-to-end time (ms),0.08,Trunc bitonic algorithmic time (ms),0.08,81728,exact,11244,exact
cpu,q11_k256_max,PASS,ok,double,bitonic,max,256,2048,Trunc bitonic end-to-end time (ms),0.112,Trunc bitonic end-to-end time (ms),0.112,Trunc bitonic algorithmic time (ms),0.112,104448,exact,45824,exact
cpu,q12_k8_max,PASS,ok,double,bitonic,max,8,4096,Trunc bitonic end-to-end time (ms),0.082,Trunc bitonic end-to-end time (ms),0.082,Trunc bitonic algorithmic time (ms),0.082,163648,exact,22508,exact
cpu,q12_k256_max,PASS,ok,double,bitonic,max,256,4096,Trunc bitonic end-to-end time (ms),0.117,Trunc bitonic end-to-end time (ms),0.117,Trunc bitonic algorithmic time (ms),0.117,219136,exact,92928,exact
cpu,q12_k4096_max,PASS,ok,double,bitonic,max,4096,4096,Trunc bitonic end-to-end time (ms),0.143,Trunc bitonic end-to-end time (ms),0.143,Trunc bitonic algorithmic time (ms),0.143,65536,exact,159744,exact
cpu,q13_k8_max,PASS,ok,double,bitonic,max,8,8192,Trunc bitonic end-to-end time (ms),0.091,Trunc bitonic end-to-end time (ms),0.091,Trunc bitonic algorithmic time (ms),0.091,327488,exact,45036,exact
cpu,q13_k256_max,PASS,ok,double,bitonic,max,256,8192,Trunc bitonic end-to-end time (ms),0.161,Trunc bitonic end-to-end time (ms),0.161,Trunc bitonic algorithmic time (ms),0.161,448512,exact,187136,exact
cpu,q13_k4096_max,PASS,ok,double,bitonic,max,4096,8192,Trunc bitonic end-to-end time (ms),0.223,Trunc bitonic end-to-end time (ms),0.223,Trunc bitonic algorithmic time (ms),0.223,294912,exact,348160,exact
cpu,q14_k8_max,PASS,ok,double,bitonic,max,8,16384,Trunc bitonic end-to-end time (ms),0.142,Trunc bitonic end-to-end time (ms),0.142,Trunc bitonic algorithmic time (ms),0.142,655168,exact,90092,exact
cpu,q14_k256_max,PASS,ok,double,bitonic,max,256,16384,Trunc bitonic end-to-end time (ms),0.281,Trunc bitonic end-to-end time (ms),0.281,Trunc bitonic algorithmic time (ms),0.281,907264,exact,375552,exact
cpu,q14_k4096_max,PASS,ok,double,bitonic,max,4096,16384,Trunc bitonic end-to-end time (ms),0.411,Trunc bitonic end-to-end time (ms),0.411,Trunc bitonic algorithmic time (ms),0.411,753664,exact,724992,exact
cpu,q15_k8_max,PASS,ok,double,bitonic,max,8,32768,Trunc bitonic end-to-end time (ms),0.283,Trunc bitonic end-to-end time (ms),0.283,Trunc bitonic algorithmic time (ms),0.283,1310528,exact,180204,exact
cpu,q15_k256_max,PASS,ok,double,bitonic,max,256,32768,Trunc bitonic end-to-end time (ms),0.475,Trunc bitonic end-to-end time (ms),0.475,Trunc bitonic algorithmic time (ms),0.475,1824768,exact,752384,exact
cpu,q15_k4096_max,PASS,ok,double,bitonic,max,4096,32768,Trunc bitonic end-to-end time (ms),0.735,Trunc bitonic end-to-end time (ms),0.735,Trunc bitonic algorithmic time (ms),0.735,1671168,exact,1478656,exact
