backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q03_k8_max,PASS,ok,int,bitonic,max,8,8,uniform,3000117,1,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic algorithmic time (ms),0.023,64,exact,24,exact
cpu,q04_k8_max,PASS,ok,int,bitonic,max,8,16,uniform,4000120,1,Trunc bitonic end-to-end time (ms),0.022,Trunc bitonic end-to-end time (ms),0.022,Trunc bitonic algorithmic time (ms),0.022,288,exact,68,exact
cpu,q05_k8_max,PASS,ok,int,bitonic,max,8,32,uniform,5000123,1,Trunc bitonic end-to-end time (ms),0.007,Trunc bitonic end-to-end time (ms),0.007,Trunc bitonic algorithmic time (ms),0.007,736,exact,156,exact
cpu,q06_k8_max,PASS,ok,int,bitonic,max,8,64,uniform,6000126,1,Trunc bitonic end-to-end time (ms),0.022,Trunc bitonic end-to-end time (ms),0.022,Trunc bitonic algorithmic time (ms),0.022,1632,exact,332,exact
cpu,q07_k8_max,PASS,ok,int,bitonic,max,8,128,uniform,7000129,1,Trunc bitonic end-to-end time (ms),0.022,Trunc bitonic end-to-end time (ms),0.022,Trunc bitonic algorithmic time (ms),0.022,3424,exact,684,exact
cpu,q08_k8_max,PASS,ok,int,bitonic,max,8,256,uniform,8000132,1,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic algorithmic time (ms),0.023,7008,exact,1388,exact
cpu,q08_k256_max,PASS,ok,int,bitonic,max,256,256,uniform,8000380,1,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic algorithmic time (ms),0.023,2048,exact,4608,exact
cpu,q09_k8_max,PASS,ok,int,bitonic,max,8,512,uniform,9000135,1,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic end-to-end time (ms),0.023,Trunc bitonic algorithmic time (ms),0.023,14176,exact,2796,exact
cpu,q09_k256_max,PASS,ok,int,bitonic,max,256,512,uniform,9000383,1,Trunc bitonic end-to-end time (ms),0.025,Trunc bitonic end-to-end time (ms),0.025,Trunc bitonic algorithmic time (ms),0.025,9216,exact,10496,exact
cpu,q10_k8_max,PASS,ok,int,bitonic,max,8,1024,uniform,10000138,1,Trunc bitonic end-to-end time (ms),0.024,Trunc bitonic end-to-end time (ms),0.024,Trunc bitonic algorithmic time (ms),0.024,28512,exact,5612,exact
cpu,q10_k256_max,PASS,ok,int,bitonic,max,256,1024,uniform,10000386,1,Trunc bitonic end-to-end time (ms),0.029,Trunc bitonic end-to-end time (ms),0.029,Trunc bitonic algorithmic time (ms),0.029,23552,exact,22272,exact
cpu,q11_k8_max,PASS,ok,int,bitonic,max,8,2048,uniform,11000141,1,Trunc bitonic end-to-end time (ms),0.024,Trunc bitonic end-to-end time (ms),0.024,Trunc bitonic algorithmic time (ms),0.024,57184,exact,11244,exact
cpu,q11_k256_max,PASS,ok,int,bitonic,max,256,2048,uniform,11000389,1,Trunc bitonic end-to-end time (ms),0.028,Trunc bitonic end-to-end time (ms),0.028,Trunc bitonic algorithmic time (ms),0.028,52224,exact,45824,exact
cpu,q12_k8_max,PASS,ok,int,bitonic,max,8,4096,uniform,12000144,1,Trunc bitonic end-to-end time (ms),0.027,Trunc bitonic end-to-end time (ms),0.027,Trunc bitonic algorithmic time (ms),0.027,114528,exact,22508,exact
cpu,q12_k256_max,PASS,ok,int,bitonic,max,256,4096,uniform,12000392,1,Trunc bitonic end-to-end time (ms),0.047,Trunc bitonic end-to-end time (ms),0.047,Trunc bitonic algorithmic time (ms),0.047,109568,exact,92928,exact
cpu,q12_k4096_max,PASS,ok,int,bitonic,max,4096,4096,uniform,12004232,1,Trunc bitonic end-to-end time (ms),0.059,Trunc bitonic end-to-end time (ms),0.059,Trunc bitonic algorithmic time (ms),0.059,32768,exact,159744,exact
cpu,q13_k8_max,PASS,ok,int,bitonic,max,8,8192,uniform,13000147,1,Trunc bitonic end-to-end time (ms),0.03,Trunc bitonic end-to-end time (ms),0.03,Trunc bitonic algorithmic time (ms),0.03,229216,exact,45036,exact
cpu,q13_k256_max,PASS,ok,int,bitonic,max,256,8192,uniform,13000395,1,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic algorithmic time (ms),0.074,224256,exact,187136,exact
cpu,q13_k4096_max,PASS,ok,int,bitonic,max,4096,8192,uniform,13004235,1,Trunc bitonic end-to-end time (ms),0.1,Trunc bitonic end-to-end time (ms),0.1,Trunc bitonic algorithmic time (ms),0.1,147456,exact,348160,exact
cpu,q14_k8_max,PASS,ok,int,bitonic,max,8,16384,uniform,14000150,1,Trunc bitonic end-to-end time (ms),0.038,Trunc bitonic end-to-end time (ms),0.038,Trunc bitonic algorithmic time (ms),0.038,458592,exact,90092,exact
cpu,q14_k256_max,PASS,ok,int,bitonic,max,256,16384,uniform,14000398,1,Trunc bitonic end-to-end time (ms),0.116,Trunc bitonic end-to-end time (ms),0.116,Trunc bitonic algorithmic time (ms),0.116,453632,exact,375552,exact
cpu,q14_k4096_max,PASS,ok,int,bitonic,max,4096,16384,uniform,14004238,1,Trunc bitonic end-to-end time (ms),0.169,Trunc bitonic end-to-end time (ms),0.169,Trunc bitonic algorithmic time (ms),0.169,376832,exact,724992,exact
cpu,q15_k8_max,PASS,ok,int,bitonic,max,8,32768,uniform,15000153,1,Trunc bitonic end-to-end time (ms),0.057,Trunc bitonic end-to-end time (ms),0.057,Trunc bitonic algorithmic time (ms),0.057,917344,exact,180204,exact
cpu,q15_k256_max,PASS,ok,int,bitonic,max,256,32768,uniform,15000401,1,Trunc bitonic end-to-end time (ms),0.215,Trunc bitonic end-to-end time (ms),0.215,Trunc bitonic algorithmic time (ms),0.215,912384,exact,752384,exact
cpu,q15_k4096_max,PASS,ok,int,bitonic,max,4096,32768,uniform,15004241,1,Trunc bitonic end-to-end time (ms),0.351,Trunc bitonic end-to-end time (ms),0.351,Trunc bitonic algorithmic time (ms),0.351,835584,exact,1478656,exact
cpu,q16_k8_max,PASS,ok,int,bitonic,max,8,65536,uniform,16000156,1,Trunc bitonic end-to-end time (ms),0.09,Trunc bitonic end-to-end time (ms),0.09,Trunc bitonic algorithmic time (ms),0.09,1834848,exact,360428,exact
cpu,q16_k256_max,PASS,ok,int,bitonic,max,256,65536,uniform,16000404,1,Trunc bitonic end-to-end time (ms),0.398,Trunc bitonic end-to-end time (ms),0.398,Trunc bitonic algorithmic time (ms),0.398,1829888,exact,1506048,exact
cpu,q16_k4096_max,PASS,ok,int,bitonic,max,4096,65536,uniform,16004244,1,Trunc bitonic end-to-end time (ms),0.679,Trunc bitonic end-to-end time (ms),0.679,Trunc bitonic algorithmic time (ms),0.679,1753088,exact,2985984,exact
cpu,q17_k8_max,PASS,ok,int,bitonic,max,8,131072,uniform,17000159,1,Trunc bitonic end-to-end time (ms),0.097,Trunc bitonic end-to-end time (ms),0.097,Trunc bitonic algorithmic time (ms),0.097,3669856,exact,720876,exact
cpu,q17_k256_max,PASS,ok,int,bitonic,max,256,131072,uniform,17000407,1,Trunc bitonic end-to-end time (ms),0.551,Trunc bitonic end-to-end time (ms),0.551,Trunc bitonic algorithmic time (ms),0.551,3664896,exact,3013376,exact
cpu,q17_k4096_max,PASS,ok,int,bitonic,max,4096,131072,uniform,17004247,1,Trunc bitonic end-to-end time (ms),0.816,Trunc bitonic end-to-end time (ms),0.816,Trunc bitonic algorithmic time (ms),0.816,3588096,exact,6000640,exact
cpu,q17_k131072_max,PASS,ok,int,bitonic,max,131072,131072,uniform,17131223,1,Trunc bitonic end-to-end time (ms),2.065,Trunc bitonic end-to-end time (ms),2.065,Trunc bitonic algorithmic time (ms),2.065,1048576,exact,10027008,exact
cpu,q18_k8_max,PASS,ok,int,bitonic,max,8,262144,uniform,18000162,1,Trunc bitonic end-to-end time (ms),0.119,Trunc bitonic end-to-end time (ms),0.119,Trunc bitonic algorithmic time (ms),0.119,7339872,exact,1441772,exact
cpu,q18_k256_max,PASS,ok,int,bitonic,max,256,262144,uniform,18000410,1,Trunc bitonic end-to-end time (ms),0.432,Trunc bitonic end-to-end time (ms),0.432,Trunc bitonic algorithmic time (ms),0.432,7334912,exact,6028032,exact
cpu,q18_k4096_max,PASS,ok,int,bitonic,max,4096,262144,uniform,18004250,1,Trunc bitonic end-to-end time (ms),0.71,Trunc bitonic end-to-end time (ms),0.71,Trunc bitonic algorithmic time (ms),0.71,7258112,exact,12029952,exact
cpu,q18_k131072_max,PASS,ok,int,bitonic,max,131072,262144,uniform,18131226,1,Trunc bitonic end-to-end time (ms),2.309,Trunc bitonic end-to-end time (ms),2.309,Trunc bitonic algorithmic time (ms),2.309,4718592,exact,21299200,exact
