backend,case_name,status,reason,dtype,algorithm,mode,k,n,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q03_k8_max,PASS,ok,uint,bitonic,max,8,8,Trunc bitonic end-to-end time (ms),0.085,Trunc bitonic end-to-end time (ms),0.085,Trunc bitonic algorithmic time (ms),0.085,64,exact,24,exact
cpu,q04_k8_max,PASS,ok,uint,bitonic,max,8,16,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic algorithmic time (ms),0.074,288,exact,68,exact
cpu,q05_k8_max,PASS,ok,uint,bitonic,max,8,32,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic algorithmic time (ms),0.071,736,exact,156,exact
cpu,q06_k8_max,PASS,ok,uint,bitonic,max,8,64,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic algorithmic time (ms),0.071,1632,exact,332,exact
cpu,q07_k8_max,PASS,ok,uint,bitonic,max,8,128,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic end-to-end time (ms),0.071,Trunc bitonic algorithmic time (ms),0.071,3424,exact,684,exact
cpu,q08_k8_max,PASS,ok,uint,bitonic,max,8,256,Trunc bitonic end-to-end time (ms),0.072,Trunc bitonic end-to-end time (ms),0.072,Trunc bitonic algorithmic time (ms),0.072,7008,exact,1388,exact
cpu,q08_k256_max,PASS,ok,uint,bitonic,max,256,256,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic algorithmic time (ms),0.074,2048,exact,4608,exact
cpu,q09_k8_max,PASS,ok,uint,bitonic,max,8,512,Trunc bitonic end-to-end time (ms),0.073,Trunc bitonic end-to-end time (ms),0.073,Trunc bitonic algorithmic time (ms),0.073,14176,exact,2796,exact
cpu,q09_k256_max,PASS,ok,uint,bitonic,max,256,512,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic end-to-end time (ms),0.074,Trunc bitonic algorithmic time (ms),0.074,9216,exact,10496,exact
cpu,q10_k8_max,PASS,ok,uint,bitonic,max,8,1024,Trunc bitonic end-to-end time (ms),0.075,Trunc bitonic end-to-end time (ms),0.075,Trunc bitonic algorithmic time (ms),0.075,28512,exact,5612,exact
cpu,q10_k256_max,PASS,ok,uint,bitonic,max,256,1024,Trunc bitonic end-to-end time (ms),0.076,Trunc bitonic end-to-end time (ms),0.076,Trunc bitonic algorithmic time (ms),0.076,23552,exact,22272,exact
cpu,q11_k8_max,PASS,ok,uint,bitonic,max,8,2048,Trunc bitonic end-to-end time (ms),0.075,Trunc bitonic end-to-end time (ms),0.075,Trunc bitonic algorithmic time (ms),0.075,57184,exact,11244,exact
cpu,q11_k256_max,PASS,ok,uint,bitonic,max,256,2048,Trunc bitonic end-to-end time (ms),0.086,Trunc bitonic end-to-end time (ms),0.086,Trunc bitonic algorithmic time (ms),0.086,52224,exact,45824,exact
cpu,q12_k8_max,PASS,ok,uint,bitonic,max,8,4096,Trunc bitonic end-to-end time (ms),0.08,Trunc bitonic end-to-end time (ms),0.08,Trunc bitonic algorithmic time (ms),0.08,114528,exact,22508,exact
cpu,q12_k256_max,PASS,ok,uint,bitonic,max,256,4096,Trunc bitonic end-to-end time (ms),0.089,Trunc bitonic end-to-end time (ms),0.089,Trunc bitonic algorithmic time (ms),0.089,109568,exact,92928,exact
cpu,q12_k4096_max,PASS,ok,uint,bitonic,max,4096,4096,Trunc bitonic end-to-end time (ms),0.1,Trunc bitonic end-to-end time (ms),0.1,Trunc bitonic algorithmic time (ms),0.1,32768,exact,159744,exact
cpu,q13_k8_max,PASS,ok,uint,bitonic,max,8,8192,Trunc bitonic end-to-end time (ms),0.084,Trunc bitonic end-to-end time (ms),0.084,Trunc bitonic algorithmic time (ms),0.084,229216,exact,45036,exact
cpu,q13_k256_max,PASS,ok,uint,bitonic,max,256,8192,Trunc bitonic end-to-end time (ms),0.109,Trunc bitonic end-to-end time (ms),0.109,Trunc bitonic algorithmic time (ms),0.109,224256,exact,187136,exact
cpu,q13_k4096_max,PASS,ok,uint,bitonic,max,4096,8192,Trunc bitonic end-to-end time (ms),0.135,Trunc bitonic end-to-end time (ms),0.135,Trunc bitonic algorithmic time (ms),0.135,147456,exact,348160,exact
cpu,q14_k8_max,PASS,ok,uint,bitonic,max,8,16384,Trunc bitonic end-to-end time (ms),0.09,Trunc bitonic end-to-end time (ms),0.09,Trunc bitonic algorithmic time (ms),0.09,458592,exact,90092,exact
cpu,q14_k256_max,PASS,ok,uint,bitonic,max,256,16384,Trunc bitonic end-to-end time (ms),0.14,Trunc bitonic end-to-end time (ms),0.14,Trunc bitonic algorithmic time (ms),0.14,453632,exact,375552,exact
cpu,q14_k4096_max,PASS,ok,uint,bitonic,max,4096,16384,Trunc bitonic end-to-end time (ms),0.193,Trunc bitonic end-to-end time (ms),0.193,Trunc bitonic algorithmic time (ms),0.193,376832,exact,724992,exact
cpu,q15_k8_max,PASS,ok,uint,bitonic,max,8,32768,Trunc bitonic end-to-end time (ms),0.141,Trunc bitonic end-to-end time (ms),0.141,Trunc bitonic algorithmic time (ms),0.141,917344,exact,180204,exact
cpu,q15_k256_max,PASS,ok,uint,bitonic,max,256,32768,Trunc bitonic end-to-end time (ms),0.239,Trunc bitonic end-to-end time (ms),0.239,Trunc bitonic algorithmic time (ms),0.239,912384,exact,752384,exact
