backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,uniform,20000168,1,Trunc bitonic end-to-end time (ms),0.718,Trunc bitonic end-to-end time (ms),0.718,Trunc bitonic algorithmic time (ms),0.718,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,uniform,20000169,1,Trunc bitonic end-to-end time (ms),0.639,Trunc bitonic end-to-end time (ms),0.639,Trunc bitonic algorithmic time (ms),0.639,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,trimodal,20000168,1,Trunc bitonic end-to-end time (ms),0.839,Trunc bitonic end-to-end time (ms),0.839,Trunc bitonic algorithmic time (ms),0.839,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,trimodal,20000169,1,Trunc bitonic end-to-end time (ms),0.73,Trunc bitonic end-to-end time (ms),0.73,Trunc bitonic algorithmic time (ms),0.73,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,adversarial,20000168,1,Trunc bitonic end-to-end time (ms),0.733,Trunc bitonic end-to-end time (ms),0.733,Trunc bitonic algorithmic time (ms),0.733,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,adversarial,20000169,1,Trunc bitonic end-to-end time (ms),0.821,Trunc bitonic end-to-end time (ms),0.821,Trunc bitonic algorithmic time (ms),0.821,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,sorted,20000168,1,Trunc bitonic end-to-end time (ms),0.64,Trunc bitonic end-to-end time (ms),0.64,Trunc bitonic algorithmic time (ms),0.64,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,sorted,20000169,1,Trunc bitonic end-to-end time (ms),0.637,Trunc bitonic end-to-end time (ms),0.637,Trunc bitonic algorithmic time (ms),0.637,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,reverse,20000168,1,Trunc bitonic end-to-end time (ms),0.794,Trunc bitonic end-to-end time (ms),0.794,Trunc bitonic algorithmic time (ms),0.794,29359968,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,reverse,20000169,1,Trunc bitonic end-to-end time (ms),0.761,Trunc bitonic end-to-end time (ms),0.761,Trunc bitonic algorithmic time (ms),0.761,29359968,exact,5767148,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,uniform,20131232,1,Trunc bitonic end-to-end time (ms),3.277,Trunc bitonic end-to-end time (ms),3.277,Trunc bitonic algorithmic time (ms),3.277,26738688,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,uniform,20131233,1,Trunc bitonic end-to-end time (ms),3.272,Trunc bitonic end-to-end time (ms),3.272,Trunc bitonic algorithmic time (ms),3.272,26738688,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,trimodal,20131232,1,Trunc bitonic end-to-end time (ms),3.329,Trunc bitonic end-to-end time (ms),3.329,Trunc bitonic algorithmic time (ms),3.329,26738688,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,trimodal,20131233,1,Trunc bitonic end-to-end time (ms),3.373,Trunc bitonic end-to-end time (ms),3.373,Trunc bitonic algorithmic time (ms),3.373,26738688,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,adversarial,20131232,1,Trunc bitonic end-to-end time (ms),3.271,Trunc bitonic end-to-end time (ms),3.271,Trunc bitonic algorithmic time (ms),3.271,26738688,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,adversarial,20131233,1,Trunc bitonic end-to-end time (ms),3.281,Trunc bitonic end-to-end time (ms),3.281,Trunc bitonic algorithmic time (ms),3.281,26738688,exact,88932352,exact
