backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,uniform,20000168,1,Trunc bitonic end-to-end time (ms),0.274,Trunc bitonic end-to-end time (ms),0.274,Trunc bitonic algorithmic time (ms),0.274,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,uniform,20000169,1,Trunc bitonic end-to-end time (ms),0.217,Trunc bitonic end-to-end time (ms),0.217,Trunc bitonic algorithmic time (ms),0.217,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,trimodal,20000168,1,Trunc bitonic end-to-end time (ms),0.249,Trunc bitonic end-to-end time (ms),0.249,Trunc bitonic algorithmic time (ms),0.249,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,trimodal,20000169,1,Trunc bitonic end-to-end time (ms),0.242,Trunc bitonic end-to-end time (ms),0.242,Trunc bitonic algorithmic time (ms),0.242,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,adversarial,20000168,1,Trunc bitonic end-to-end time (ms),0.34,Trunc bitonic end-to-end time (ms),0.34,Trunc bitonic algorithmic time (ms),0.34,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,adversarial,20000169,1,Trunc bitonic end-to-end time (ms),0.234,Trunc bitonic end-to-end time (ms),0.234,Trunc bitonic algorithmic time (ms),0.234,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,sorted,20000168,1,Trunc bitonic end-to-end time (ms),0.242,Trunc bitonic end-to-end time (ms),0.242,Trunc bitonic algorithmic time (ms),0.242,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,sorted,20000169,1,Trunc bitonic end-to-end time (ms),0.248,Trunc bitonic end-to-end time (ms),0.248,Trunc bitonic algorithmic time (ms),0.248,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,reverse,20000168,1,Trunc bitonic end-to-end time (ms),0.238,Trunc bitonic end-to-end time (ms),0.238,Trunc bitonic algorithmic time (ms),0.238,14679984,exact,5767148,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,reverse,20000169,1,Trunc bitonic end-to-end time (ms),0.235,Trunc bitonic end-to-end time (ms),0.235,Trunc bitonic algorithmic time (ms),0.235,14679984,exact,5767148,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,uniform,20131232,1,Trunc bitonic end-to-end time (ms),2.947,Trunc bitonic end-to-end time (ms),2.947,Trunc bitonic algorithmic time (ms),2.947,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,uniform,20131233,1,Trunc bitonic end-to-end time (ms),2.954,Trunc bitonic end-to-end time (ms),2.954,Trunc bitonic algorithmic time (ms),2.954,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,trimodal,20131232,1,Trunc bitonic end-to-end time (ms),3.062,Trunc bitonic end-to-end time (ms),3.062,Trunc bitonic algorithmic time (ms),3.062,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,trimodal,20131233,1,Trunc bitonic end-to-end time (ms),3.08,Trunc bitonic end-to-end time (ms),3.08,Trunc bitonic algorithmic time (ms),3.08,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,adversarial,20131232,1,Trunc bitonic end-to-end time (ms),2.979,Trunc bitonic end-to-end time (ms),2.979,Trunc bitonic algorithmic time (ms),2.979,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,adversarial,20131233,1,Trunc bitonic end-to-end time (ms),2.95,Trunc bitonic end-to-end time (ms),2.95,Trunc bitonic algorithmic time (ms),2.95,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,sorted,20131232,1,Trunc bitonic end-to-end time (ms),2.981,Trunc bitonic end-to-end time (ms),2.981,Trunc bitonic algorithmic time (ms),2.981,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,sorted,20131233,1,Trunc bitonic end-to-end time (ms),2.942,Trunc bitonic end-to-end time (ms),2.942,Trunc bitonic algorithmic time (ms),2.942,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,reverse,20131232,1,Trunc bitonic end-to-end time (ms),2.982,Trunc bitonic end-to-end time (ms),2.982,Trunc bitonic algorithmic time (ms),2.982,13369344,exact,88932352,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,reverse,20131233,1,Trunc bitonic end-to-end time (ms),2.94,Trunc bitonic end-to-end time (ms),2.94,Trunc bitonic algorithmic time (ms),2.94,13369344,exact,88932352,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,uniform,21000171,1,Trunc bitonic end-to-end time (ms),0.445,Trunc bitonic end-to-end time (ms),0.445,Trunc bitonic algorithmic time (ms),0.445,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,uniform,21000172,1,Trunc bitonic end-to-end time (ms),0.436,Trunc bitonic end-to-end time (ms),0.436,Trunc bitonic algorithmic time (ms),0.436,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,trimodal,21000171,1,Trunc bitonic end-to-end time (ms),0.43,Trunc bitonic end-to-end time (ms),0.43,Trunc bitonic algorithmic time (ms),0.43,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,trimodal,21000172,1,Trunc bitonic end-to-end time (ms),0.543,Trunc bitonic end-to-end time (ms),0.543,Trunc bitonic algorithmic time (ms),0.543,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,adversarial,21000171,1,Trunc bitonic end-to-end time (ms),0.437,Trunc bitonic end-to-end time (ms),0.437,Trunc bitonic algorithmic time (ms),0.437,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,adversarial,21000172,1,Trunc bitonic end-to-end time (ms),0.426,Trunc bitonic end-to-end time (ms),0.426,Trunc bitonic algorithmic time (ms),0.426,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,sorted,21000171,1,Trunc bitonic end-to-end time (ms),0.436,Trunc bitonic end-to-end time (ms),0.436,Trunc bitonic algorithmic time (ms),0.436,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,sorted,21000172,1,Trunc bitonic end-to-end time (ms),0.424,Trunc bitonic end-to-end time (ms),0.424,Trunc bitonic algorithmic time (ms),0.424,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,reverse,21000171,1,Trunc bitonic end-to-end time (ms),0.524,Trunc bitonic end-to-end time (ms),0.524,Trunc bitonic algorithmic time (ms),0.524,29360048,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,reverse,21000172,1,Trunc bitonic end-to-end time (ms),0.423,Trunc bitonic end-to-end time (ms),0.423,Trunc bitonic algorithmic time (ms),0.423,29360048,exact,11534316,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,uniform,21131235,1,Trunc bitonic end-to-end time (ms),5.37,Trunc bitonic end-to-end time (ms),5.37,Trunc bitonic algorithmic time (ms),5.37,28049408,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,uniform,21131236,1,Trunc bitonic end-to-end time (ms),5.337,Trunc bitonic end-to-end time (ms),5.337,Trunc bitonic algorithmic time (ms),5.337,28049408,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,trimodal,21131235,1,Trunc bitonic end-to-end time (ms),5.355,Trunc bitonic end-to-end time (ms),5.355,Trunc bitonic algorithmic time (ms),5.355,28049408,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,trimodal,21131236,1,Trunc bitonic end-to-end time (ms),5.345,Trunc bitonic end-to-end time (ms),5.345,Trunc bitonic algorithmic time (ms),5.345,28049408,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,adversarial,21131235,1,Trunc bitonic end-to-end time (ms),5.423,Trunc bitonic end-to-end time (ms),5.423,Trunc bitonic algorithmic time (ms),5.423,28049408,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,adversarial,21131236,1,Trunc bitonic end-to-end time (ms),5.348,Trunc bitonic end-to-end time (ms),5.348,Trunc bitonic algorithmic time (ms),5.348,28049408,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,sorted,21131235,1,Trunc bitonic end-to-end time (ms),5.438,Trunc bitonic end-to-end time (ms),5.438,Trunc bitonic algorithmic time (ms),5.438,28049408,exact,179109888,exact
