source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,double,bitonic,max,256,65536,uniform,16000404,1,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k256_max_uniform_s16000404_rep1_rapl.txt,0.044789,0.443748,9.907558,5.421215,0.200938,4.486343,0,rapl:package+core,0.332365,0.332365,0.034491,0.034491,0.145381873435,0.145381873435,0.358441,0.035902,0.011733,0.009915,,,,0.040593
rapl,cpu,double,bitonic,max,256,65536,uniform,16000404,2,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k256_max_uniform_s16000404_rep2_rapl.txt,0.045762,0.443398,9.689155,5.421215,0.195311,4.26794,0,rapl:package+core,0.338269,0.338269,0.03552,0.03552,0.1457074432,0.1457074432,0.349667,0.036939,0.010116,0.008258,,,,0.040593
rapl,cpu,double,bitonic,max,256,65536,uniform,16000404,3,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k256_max_uniform_s16000404_rep3_rapl.txt,0.046394,0.448174,9.660198,5.421215,0.196663,4.238983,0,rapl:package+core,0.367153,0.367153,0.035867,0.035867,0.172710281595,0.172710281595,0.367153,0.037305,0.012511,0.010628,,,,0.040593
rapl,cpu,double,bitonic,max,4096,65536,uniform,16004244,1,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k4096_max_uniform_s16004244_rep1_rapl.txt,0.073538,0.699442,9.511292,5.421215,0.300776,4.090077,0,rapl:package+core,0.565171,0.565171,0.059922,0.059922,0.24032095477,0.24032095477,0.588333,0.061349,0.036344,0.033359,,,,0.040593
rapl,cpu,double,bitonic,max,4096,65536,uniform,16004244,2,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k4096_max_uniform_s16004244_rep2_rapl.txt,0.0735,0.698953,9.509514,5.421215,0.300492,4.088299,0,rapl:package+core,0.575104,0.575104,0.059813,0.059813,0.250844867205,0.250844867205,0.586319,0.061241,0.015441,0.012457,,,,0.040593
rapl,cpu,double,bitonic,max,4096,65536,uniform,16004244,3,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k4096_max_uniform_s16004244_rep3_rapl.txt,0.073379,0.695323,9.475771,5.421215,0.297519,4.054556,0,rapl:package+core,0.560899,0.560899,0.059771,0.059771,0.236867558235,0.236867558235,0.583313,0.061182,0.014693,0.011714,,,,0.040593
rapl,cpu,double,bitonic,max,8,65536,uniform,16000156,1,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k8_max_uniform_s16000156_rep1_rapl.txt,0.015641,0.15731,10.057251,5.421215,0.072514,4.636036,0,rapl:package+core,0.079388,0.079388,0.008023,0.008023,0.035893592055,0.035893592055,0.101786,0.009445,0.010162,0.009527,,,,0.040593
rapl,cpu,double,bitonic,max,8,65536,uniform,16000156,2,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k8_max_uniform_s16000156_rep2_rapl.txt,0.015476,0.171149,11.059173,5.421215,0.087252,5.637958,0,rapl:package+core,0.095195,0.095195,0.007951,0.007951,0.052090919535,0.052090919535,0.095195,0.009339,0.007187,0.006559,,,,0.040593
rapl,cpu,double,bitonic,max,8,65536,uniform,16000156,3,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q16_k8_max_uniform_s16000156_rep3_rapl.txt,0.015574,0.16352,10.499726,5.421215,0.079091,5.078511,0,rapl:package+core,0.072018,0.072018,0.007883,0.007883,0.029282562155,0.029282562155,0.096141,0.009257,0.00708,0.006448,,,,0.040593
rapl,cpu,double,bitonic,max,131072,131072,uniform,17131223,1,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k131072_max_uniform_s17131223_rep1_rapl.txt,0.150417,1.964589,13.060963,5.421215,1.149147,7.639748,0,rapl:package+core,1.340308,1.340308,0.096062,0.096062,0.81953524467,0.81953524467,1.395954,0.098406,0.034849,0.028743,,,,0.040593
rapl,cpu,double,bitonic,max,131072,131072,uniform,17131223,2,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k131072_max_uniform_s17131223_rep2_rapl.txt,0.148776,1.822125,12.247474,5.421215,1.015581,6.826259,0,rapl:package+core,1.24954,1.24954,0.094876,0.094876,0.73519680566,0.73519680566,1.314782,0.097245,0.025832,0.019793,,,,0.040593
rapl,cpu,double,bitonic,max,131072,131072,uniform,17131223,3,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k131072_max_uniform_s17131223_rep3_rapl.txt,0.150069,1.861431,12.403834,5.421215,1.047875,6.982619,0,rapl:package+core,1.319131,1.319131,0.096052,0.096052,0.79841245682,0.79841245682,1.334877,0.098527,0.02629,0.020198,,,,0.040593
rapl,cpu,double,bitonic,max,256,131072,uniform,17000407,1,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k256_max_uniform_s17000407_rep1_rapl.txt,0.048561,0.623457,12.838674,5.421215,0.360198,7.417459,0,rapl:package+core,0.456291,0.456291,0.035214,0.035214,0.26538833499,0.26538833499,0.50652,0.037572,0.012481,0.01051,,,,0.040593
rapl,cpu,double,bitonic,max,256,131072,uniform,17000407,2,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k256_max_uniform_s17000407_rep2_rapl.txt,0.049989,0.638822,12.779377,5.421215,0.367824,7.358162,0,rapl:package+core,0.508961,0.508961,0.035137,0.035137,0.318475768545,0.318475768545,0.524875,0.037603,0.014694,0.012665,,,,0.040593
rapl,cpu,double,bitonic,max,256,131072,uniform,17000407,3,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k256_max_uniform_s17000407_rep3_rapl.txt,0.050383,0.634641,12.596309,5.421215,0.361503,7.175094,0,rapl:package+core,0.467613,0.467613,0.035697,0.035697,0.274091888145,0.274091888145,0.514148,0.03823,0.013931,0.011886,,,,0.040593
rapl,cpu,double,bitonic,max,4096,131072,uniform,17004247,1,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k4096_max_uniform_s17004247_rep1_rapl.txt,0.079584,1.012933,12.727866,5.421215,0.581492,7.306651,0,rapl:package+core,0.818745,0.818745,0.060912,0.060912,0.48852795192,0.48852795192,0.850466,0.063544,0.033201,0.02997,,,,0.040593
rapl,cpu,double,bitonic,max,4096,131072,uniform,17004247,2,bench/results/raw/energy/measurements/20260825_014636_cpu_double_bitonic_q17_k4096_max_uniform_s17004247_rep2_rapl.txt,0.078534,1.00181,12.756327,5.421215,0.576058,7.335112,0,rapl:package+core,0.766623,0.766623,0.061355,0.061355,0.434004353675,0.434004353675,0.833086,0.063922,0.018324,0.015136,,,,0.040593
