source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,float,bitonic,max,256,65536,uniform,16000404,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k256_max_uniform_s16000404_rep1_rapl.txt,0.032925,0.326948,9.930117,5.421215,0.148455,4.508902,0,rapl:package+core,0.233005,0.233005,0.025062,0.025062,0.09713850967,0.09713850967,0.250796,0.026003,0.007568,0.006231,,,,0.040593
rapl,cpu,float,bitonic,max,256,65536,uniform,16000404,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k256_max_uniform_s16000404_rep2_rapl.txt,0.026549,0.269029,10.133353,5.421215,0.125102,4.712138,0,rapl:package+core,0.202504,0.202504,0.019236,0.019236,0.09822150826,0.09822150826,0.202504,0.020185,0.005676,0.004598,,,,0.040593
rapl,cpu,float,bitonic,max,256,65536,uniform,16000404,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k256_max_uniform_s16000404_rep3_rapl.txt,0.028742,0.296769,10.325161,5.421215,0.140951,4.903946,0,rapl:package+core,0.221882,0.221882,0.021217,0.021217,0.106860081345,0.106860081345,0.233371,0.022147,0.010788,0.009621,,,,0.040593
rapl,cpu,float,bitonic,max,4096,65536,uniform,16004244,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k4096_max_uniform_s16004244_rep1_rapl.txt,0.042885,0.421975,9.839618,5.421215,0.189485,4.418403,0,rapl:package+core,0.319716,0.319716,0.033233,0.033233,0.139552761905,0.139552761905,0.331007,0.034194,0.015029,0.013288,,,,0.040593
rapl,cpu,float,bitonic,max,4096,65536,uniform,16004244,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k4096_max_uniform_s16004244_rep2_rapl.txt,0.04443,0.429497,9.666769,5.421215,0.188631,4.245554,0,rapl:package+core,0.363232,0.363232,0.033502,0.033502,0.18161045507,0.18161045507,0.363232,0.034431,0.010101,0.008297,,,,0.040593
rapl,cpu,float,bitonic,max,4096,65536,uniform,16004244,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k4096_max_uniform_s16004244_rep3_rapl.txt,0.044461,0.437478,9.83964,5.421215,0.196447,4.418425,0,rapl:package+core,0.330335,0.330335,0.034914,0.034914,0.14105869949,0.14105869949,0.354016,0.03587,0.012008,0.010203,,,,0.040593
rapl,cpu,float,bitonic,max,8,65536,uniform,16000156,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k8_max_uniform_s16000156_rep1_rapl.txt,0.010898,0.104334,9.573374,5.421215,0.045252,4.152159,0,rapl:package+core,0.05592,0.05592,0.005008,0.005008,0.02877055528,0.02877055528,0.05592,0.005914,0.006271,0.005829,,,,0.040593
rapl,cpu,float,bitonic,max,8,65536,uniform,16000156,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k8_max_uniform_s16000156_rep2_rapl.txt,0.010902,0.110056,10.095316,5.421215,0.050956,4.674101,0,rapl:package+core,0.045682,0.045682,0.005024,0.005024,0.01844581584,0.01844581584,0.057629,0.005928,0.009354,0.008911,,,,0.040593
rapl,cpu,float,bitonic,max,8,65536,uniform,16000156,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q16_k8_max_uniform_s16000156_rep3_rapl.txt,0.010772,0.103159,9.57702,5.421215,0.044764,4.155805,0,rapl:package+core,0.059887,0.059887,0.00498,0.00498,0.0328893493,0.0328893493,0.059887,0.005927,0.005935,0.005498,,,,0.040593
rapl,cpu,float,bitonic,max,131072,131072,uniform,17131223,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k131072_max_uniform_s17131223_rep1_rapl.txt,0.158599,1.603708,10.111737,5.421215,0.743911,4.690522,0,rapl:package+core,1.069114,1.069114,0.103022,0.103022,0.51060958827,0.51060958827,1.09345,0.104444,0.038832,0.032394,,,,0.040593
rapl,cpu,float,bitonic,max,131072,131072,uniform,17131223,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k131072_max_uniform_s17131223_rep2_rapl.txt,0.155199,1.51698,9.7744,5.421215,0.675611,4.353185,0,rapl:package+core,1.048408,1.048408,0.104243,0.104243,0.483284284755,0.483284284755,1.048408,0.105647,0.023162,0.016862,,,,0.040593
rapl,cpu,float,bitonic,max,131072,131072,uniform,17131223,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k131072_max_uniform_s17131223_rep3_rapl.txt,0.155441,1.558925,10.029028,5.421215,0.716244,4.607813,0,rapl:package+core,1.067602,1.067602,0.104325,0.104325,0.502033745125,0.502033745125,1.09319,0.105724,0.02928,0.02297,,,,0.040593
rapl,cpu,float,bitonic,max,256,131072,uniform,17000407,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k256_max_uniform_s17000407_rep1_rapl.txt,0.028931,0.380199,13.141731,5.421215,0.22336,7.720516,0,rapl:package+core,0.28238,0.28238,0.019909,0.019909,0.174449030565,0.174449030565,0.302123,0.021394,0.009598,0.008424,,,,0.040593
rapl,cpu,float,bitonic,max,256,131072,uniform,17000407,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k256_max_uniform_s17000407_rep2_rapl.txt,0.029096,0.374737,12.879486,5.421215,0.217003,7.458271,0,rapl:package+core,0.292252,0.292252,0.020051,0.020051,0.183551218035,0.183551218035,0.292252,0.021501,0.007614,0.006433,,,,0.040593
rapl,cpu,float,bitonic,max,256,131072,uniform,17000407,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k256_max_uniform_s17000407_rep3_rapl.txt,0.030663,0.414178,13.507413,5.421215,0.247947,8.086198,0,rapl:package+core,0.321379,0.321379,0.021209,0.021209,0.206400451065,0.206400451065,0.321379,0.022864,0.009948,0.008703,,,,0.040593
rapl,cpu,float,bitonic,max,4096,131072,uniform,17004247,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k4096_max_uniform_s17004247_rep1_rapl.txt,0.045448,0.584534,12.861649,5.421215,0.338152,7.440434,0,rapl:package+core,0.453131,0.453131,0.033832,0.033832,0.26972045412,0.26972045412,0.46961,0.0354,0.015975,0.01413,,,,0.040593
rapl,cpu,float,bitonic,max,4096,131072,uniform,17004247,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k4096_max_uniform_s17004247_rep2_rapl.txt,0.045732,0.590958,12.922328,5.421215,0.343037,7.501113,0,rapl:package+core,0.436774,0.436774,0.034119,0.034119,0.251807565415,0.251807565415,0.46871,0.035647,0.010864,0.009008,,,,0.040593
