source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,half,bitonic,max,256,65536,uniform,16000404,1,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k256_max_uniform_s16000404_rep1_rapl.txt,0.028336,0.297668,10.504834,5.421215,0.144051,5.083619,0,rapl:package+core,0.205831,0.205831,0.020737,0.020737,0.093411264545,0.093411264545,0.234439,0.021453,0.012405,0.011255,,,,0.040593
rapl,cpu,half,bitonic,max,256,65536,uniform,16000404,2,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k256_max_uniform_s16000404_rep2_rapl.txt,0.029029,0.294937,10.160119,5.421215,0.137565,4.738904,0,rapl:package+core,0.227115,0.227115,0.02127,0.02127,0.11180575695,0.11180575695,0.227115,0.022013,0.008987,0.007809,,,,0.040593
rapl,cpu,half,bitonic,max,256,65536,uniform,16000404,3,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k256_max_uniform_s16000404_rep3_rapl.txt,0.028002,0.270921,9.674968,5.421215,0.119115,4.253753,0,rapl:package+core,0.205815,0.205815,0.020711,0.020711,0.093536216135,0.093536216135,0.205815,0.021431,0.005309,0.004172,,,,0.040593
rapl,cpu,half,bitonic,max,4096,65536,uniform,16004244,1,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k4096_max_uniform_s16004244_rep1_rapl.txt,0.047614,0.453834,9.531553,5.421215,0.195709,4.110338,0,rapl:package+core,0.344236,0.344236,0.036164,0.036164,0.14818318074,0.14818318074,0.344236,0.036897,0.015059,0.013126,,,,0.040593
rapl,cpu,half,bitonic,max,4096,65536,uniform,16004244,2,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k4096_max_uniform_s16004244_rep2_rapl.txt,0.047352,0.458671,9.686348,5.421215,0.201964,4.265133,0,rapl:package+core,0.330123,0.330123,0.037222,0.037222,0.12833453527,0.12833453527,0.352033,0.037952,0.015106,0.013184,,,,0.040593
rapl,cpu,half,bitonic,max,4096,65536,uniform,16004244,3,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k4096_max_uniform_s16004244_rep3_rapl.txt,0.047816,0.459937,9.618934,5.421215,0.200717,4.197719,0,rapl:package+core,0.365078,0.365078,0.037892,0.037892,0.15965732122,0.15965732122,0.376568,0.038623,0.009475,0.007534,,,,0.040593
rapl,cpu,half,bitonic,max,8,65536,uniform,16000156,1,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k8_max_uniform_s16000156_rep1_rapl.txt,0.011038,0.108225,9.804919,5.421215,0.048387,4.383704,0,rapl:package+core,0.033461,0.033461,0.005372,0.005372,0.00433823302,0.00433823302,0.056409,0.006131,0.003403,0.002955,,,,0.040593
rapl,cpu,half,bitonic,max,8,65536,uniform,16000156,2,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k8_max_uniform_s16000156_rep2_rapl.txt,0.010937,0.111902,10.231754,5.421215,0.052612,4.810539,0,rapl:package+core,0.060971,0.060971,0.005247,0.005247,0.032525884895,0.032525884895,0.060971,0.005957,0.003968,0.003524,,,,0.040593
rapl,cpu,half,bitonic,max,8,65536,uniform,16000156,3,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q16_k8_max_uniform_s16000156_rep3_rapl.txt,0.010916,0.105128,9.630218,5.421215,0.045947,4.209003,0,rapl:package+core,0.043775,0.043775,0.005274,0.005274,0.01518351209,0.01518351209,0.054837,0.006,0.003204,0.002761,,,,0.040593
rapl,cpu,half,bitonic,max,131072,131072,uniform,17131223,1,bench/results/raw/energy/measurements/20260825_014636_cpu_half_bitonic_q17_k131072_max_uniform_s17131223_rep1_rapl.txt,0.161579,1.53999,9.530886,5.421215,0.664036,4.109671,0,rapl:package+core,1.045753,1.045753,0.110679,0.110679,0.445738345015,0.445738345015,1.080938,0.111678,0.022247,0.015688,,,,0.040593
