source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,int,bitonic,max,256,65536,uniform,16000404,1,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k256_max_uniform_s16000404_rep1_rapl.txt,0.02659,0.297135,11.174844,5.421215,0.152987,5.753629,0,rapl:package+core,0.235965,0.235965,0.019118,0.019118,0.13232221163,0.13232221163,0.235965,0.019953,0.031127,0.030048,,,,0.040593
rapl,cpu,int,bitonic,max,256,65536,uniform,16000404,2,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k256_max_uniform_s16000404_rep2_rapl.txt,0.02658,0.287461,10.814994,5.421215,0.143366,5.393779,0,rapl:package+core,0.225543,0.225543,0.019121,0.019121,0.121883947985,0.121883947985,0.225543,0.020063,0.010971,0.009892,,,,0.040593
rapl,cpu,int,bitonic,max,256,65536,uniform,16000404,3,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k256_max_uniform_s16000404_rep3_rapl.txt,0.026706,0.308379,11.547395,5.421215,0.163603,6.12618,0,rapl:package+core,0.200643,0.200643,0.019008,0.019008,0.09759654528,0.09759654528,0.213902,0.019922,0.011901,0.010817,,,,0.040593
rapl,cpu,int,bitonic,max,4096,65536,uniform,16004244,1,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k4096_max_uniform_s16004244_rep1_rapl.txt,0.043077,0.46659,10.831596,5.421215,0.233062,5.410381,0,rapl:package+core,0.373272,0.373272,0.034352,0.034352,0.18704242232,0.18704242232,0.373272,0.035293,0.012435,0.010686,,,,0.040593
rapl,cpu,int,bitonic,max,4096,65536,uniform,16004244,2,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k4096_max_uniform_s16004244_rep2_rapl.txt,0.041486,0.451698,10.888081,5.421215,0.226796,5.466866,0,rapl:package+core,0.354016,0.354016,0.032786,0.032786,0.17627604501,0.17627604501,0.354016,0.033712,0.01149,0.009806,,,,0.040593
rapl,cpu,int,bitonic,max,4096,65536,uniform,16004244,3,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k4096_max_uniform_s16004244_rep3_rapl.txt,0.041724,0.462699,11.089399,5.421215,0.236502,5.668184,0,rapl:package+core,0.360822,0.360822,0.032968,0.032968,0.18209538388,0.18209538388,0.360822,0.033901,0.014647,0.012953,,,,0.040593
rapl,cpu,int,bitonic,max,8,65536,uniform,16000156,1,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k8_max_uniform_s16000156_rep1_rapl.txt,0.009623,0.097864,10.169496,5.421215,0.045694,4.748281,0,rapl:package+core,0.035811,0.035811,0.003683,0.003683,0.015844665155,0.015844665155,0.048216,0.004594,0.008255,0.007864,,,,0.040593
rapl,cpu,int,bitonic,max,8,65536,uniform,16000156,2,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k8_max_uniform_s16000156_rep2_rapl.txt,0.009837,0.1159,11.781867,5.421215,0.062571,6.360652,0,rapl:package+core,0.04759,0.04759,0.003703,0.003703,0.027515240855,0.027515240855,0.04759,0.004637,0.006088,0.005689,,,,0.040593
rapl,cpu,int,bitonic,max,8,65536,uniform,16000156,3,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q16_k8_max_uniform_s16000156_rep3_rapl.txt,0.009514,0.10441,10.974796,5.421215,0.052835,5.553581,0,rapl:package+core,0.047879,0.047879,0.003676,0.003676,0.02795061366,0.02795061366,0.047879,0.004595,0.00537,0.004984,,,,0.040593
rapl,cpu,int,bitonic,max,131072,131072,uniform,17131223,1,bench/results/raw/energy/measurements/20260825_014636_cpu_int_bitonic_q17_k131072_max_uniform_s17131223_rep1_rapl.txt,0.121087,1.30613,10.786679,5.421215,0.64969,5.365464,0,rapl:package+core,1.095876,1.095876,0.101528,0.101528,0.54547088348,0.54547088348,1.124561,0.102944,0.038557,0.033642,,,,0.040593
