source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,uint,bitonic,max,256,65536,uniform,16000404,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k256_max_uniform_s16000404_rep1_rapl.txt,0.026529,0.279114,10.52125,5.421215,0.135297,5.100035,0,rapl:package+core,0.212117,0.212117,0.019102,0.019102,0.10856095107,0.10856095107,0.212117,0.019975,0.024947,0.02387,,,,0.040593
rapl,cpu,uint,bitonic,max,256,65536,uniform,16000404,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k256_max_uniform_s16000404_rep2_rapl.txt,0.026534,0.263796,9.941691,5.421215,0.119948,4.520476,0,rapl:package+core,0.207417,0.207417,0.019224,0.019224,0.10319956284,0.10319956284,0.207417,0.020091,0.021315,0.020238,,,,0.040593
rapl,cpu,uint,bitonic,max,256,65536,uniform,16000404,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k256_max_uniform_s16000404_rep3_rapl.txt,0.026235,0.288239,10.986768,5.421215,0.146013,5.565553,0,rapl:package+core,0.18276,0.18276,0.018902,0.018902,0.08028819407,0.08028819407,0.210881,0.019813,0.011337,0.010272,,,,0.040593
rapl,cpu,uint,bitonic,max,4096,65536,uniform,16004244,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k4096_max_uniform_s16004244_rep1_rapl.txt,0.042863,0.443901,10.356301,5.421215,0.211532,4.935086,0,rapl:package+core,0.354673,0.354673,0.033992,0.033992,0.17039505972,0.17039505972,0.368023,0.034919,0.016662,0.014922,,,,0.040593
rapl,cpu,uint,bitonic,max,4096,65536,uniform,16004244,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k4096_max_uniform_s16004244_rep2_rapl.txt,0.041965,0.413919,9.86332,5.421215,0.186415,4.442105,0,rapl:package+core,0.321929,0.321929,0.03325,0.03325,0.14167360125,0.14167360125,0.333418,0.034216,0.012252,0.010548,,,,0.040593
rapl,cpu,uint,bitonic,max,4096,65536,uniform,16004244,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k4096_max_uniform_s16004244_rep3_rapl.txt,0.041418,0.424783,10.255981,5.421215,0.200247,4.834766,0,rapl:package+core,0.320112,0.320112,0.032607,0.032607,0.143342442495,0.143342442495,0.338269,0.033544,0.011031,0.00935,,,,0.040593
rapl,cpu,uint,bitonic,max,8,65536,uniform,16000156,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k8_max_uniform_s16000156_rep1_rapl.txt,0.009672,0.089122,9.214503,5.421215,0.036688,3.793288,0,rapl:package+core,0.031554,0.031554,0.003679,0.003679,0.011609350015,0.011609350015,0.043058,0.004606,0.005218,0.004825,,,,0.040593
rapl,cpu,uint,bitonic,max,8,65536,uniform,16000156,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k8_max_uniform_s16000156_rep2_rapl.txt,0.009579,0.085399,8.915062,5.421215,0.033468,3.493847,0,rapl:package+core,0.049085,0.049085,0.003598,0.003598,0.02957946843,0.02957946843,0.049085,0.004362,0.010726,0.010337,,,,0.040593
rapl,cpu,uint,bitonic,max,8,65536,uniform,16000156,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q16_k8_max_uniform_s16000156_rep3_rapl.txt,0.009525,0.077236,8.108715,5.421215,0.025599,2.6875,0,rapl:package+core,0.022079,0.022079,0.003682,0.003682,0.00211808637,0.00211808637,0.043088,0.0046,0.006362,0.005975,,,,0.040593
rapl,cpu,uint,bitonic,max,131072,131072,uniform,17131223,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k131072_max_uniform_s17131223_rep1_rapl.txt,0.123122,1.262966,10.257883,5.421215,0.595498,4.836668,0,rapl:package+core,1.079809,1.079809,0.102292,0.102292,0.52526207522,0.52526207522,1.079809,0.103717,0.024428,0.01943,,,,0.040593
rapl,cpu,uint,bitonic,max,131072,131072,uniform,17131223,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k131072_max_uniform_s17131223_rep2_rapl.txt,0.121453,1.216185,10.013603,5.421215,0.557761,4.592388,0,rapl:package+core,1.033578,1.033578,0.101957,0.101957,0.480847182245,0.480847182245,1.046623,0.103367,0.019485,0.014555,,,,0.040593
rapl,cpu,uint,bitonic,max,131072,131072,uniform,17131223,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k131072_max_uniform_s17131223_rep3_rapl.txt,0.120699,1.19226,9.877967,5.421215,0.537925,4.456752,0,rapl:package+core,1.008188,1.008188,0.101355,0.101355,0.458720753675,0.458720753675,1.021386,0.102749,0.021743,0.016843,,,,0.040593
rapl,cpu,uint,bitonic,max,256,131072,uniform,17000407,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k256_max_uniform_s17000407_rep1_rapl.txt,0.029222,0.381358,13.050155,5.421215,0.222937,7.62894,0,rapl:package+core,0.302398,0.302398,0.019686,0.019686,0.19567596151,0.19567596151,0.302398,0.021174,0.02014,0.018954,,,,0.040593
rapl,cpu,uint,bitonic,max,256,131072,uniform,17000407,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k256_max_uniform_s17000407_rep2_rapl.txt,0.029423,0.397944,13.52504,5.421215,0.238437,8.103825,0,rapl:package+core,0.274065,0.274065,0.019762,0.019762,0.16693094917,0.16693094917,0.307128,0.021217,0.013534,0.01234,,,,0.040593
rapl,cpu,uint,bitonic,max,256,131072,uniform,17000407,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k256_max_uniform_s17000407_rep3_rapl.txt,0.030373,0.38296,12.608527,5.421215,0.218301,7.187312,0,rapl:package+core,0.256839,0.256839,0.020864,0.020864,0.14373077024,0.14373077024,0.290101,0.02232,0.007552,0.006319,,,,0.040593
rapl,cpu,uint,bitonic,max,4096,131072,uniform,17004247,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k4096_max_uniform_s17004247_rep1_rapl.txt,0.044546,0.576478,12.941217,5.421215,0.334985,7.520002,0,rapl:package+core,0.441064,0.441064,0.033538,0.033538,0.25924729133,0.25924729133,0.472617,0.035085,0.009307,0.007499,,,,0.040593
rapl,cpu,uint,bitonic,max,4096,131072,uniform,17004247,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k4096_max_uniform_s17004247_rep2_rapl.txt,0.046372,0.587295,12.664815,5.421215,0.335901,7.2436,0,rapl:package+core,0.435876,0.435876,0.033897,0.033897,0.252113075145,0.252113075145,0.467795,0.035444,0.028212,0.02633,,,,0.040593
rapl,cpu,uint,bitonic,max,4096,131072,uniform,17004247,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k4096_max_uniform_s17004247_rep3_rapl.txt,0.046201,0.591782,12.808992,5.421215,0.341319,7.387777,0,rapl:package+core,0.454688,0.454688,0.033884,0.033884,0.27099555094,0.27099555094,0.486501,0.036459,0.013472,0.011597,,,,0.040593
rapl,cpu,uint,bitonic,max,8,131072,uniform,17000159,1,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k8_max_uniform_s17000159_rep1_rapl.txt,0.013248,0.127618,9.632679,5.421215,0.055795,4.211464,0,rapl:package+core,0.051556,0.051556,0.004031,0.004031,0.029703082335,0.029703082335,0.051556,0.005458,0.0047,0.004162,,,,0.040593
rapl,cpu,uint,bitonic,max,8,131072,uniform,17000159,2,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k8_max_uniform_s17000159_rep2_rapl.txt,0.012075,0.133461,11.052501,5.421215,0.067999,5.631286,0,rapl:package+core,0.036039,0.036039,0.004039,0.004039,0.014142712615,0.014142712615,0.064481,0.005538,0.019469,0.018979,,,,0.040593
rapl,cpu,uint,bitonic,max,8,131072,uniform,17000159,3,bench/results/raw/energy/measurements/20260825_014636_cpu_uint_bitonic_q17_k8_max_uniform_s17000159_rep3_rapl.txt,0.01213,0.124216,10.239975,5.421215,0.058454,4.81876,0,rapl:package+core,0.025236,0.025236,0.004039,0.004039,0.003339712615,0.003339712615,0.053128,0.005456,0.007827,0.007335,,,,0.040593
