backend,kernel,ops_per_elem,elements,bytes_moved,ops,ms_mean,ms_stdev,ms_min,gbytes_per_s,gops_per_s,operational_intensity,joules_per_iter
cpu,read,0,67108864,268435456,67108864,4.792808,0.024617,4.735852,56.6816,14.1704,0.25,0.098591
cpu,copy,0,67108864,536870912,0,15.184965,0.079326,15.069521,35.6263,0,0,0.279459
cpu,fma,0,67108864,268435456,67108864,4.82139,0.178795,4.764165,56.3447,14.0862,0.25,0.101034
cpu,cmp,0,67108864,268435456,0,4.806774,0.015181,4.751461,56.4954,0,0,0.102769
cpu,fma,1,67108864,268435456,201326592,4.815754,0.168194,4.759727,56.3972,42.2979,0.75,0.104262
cpu,cmp,1,67108864,268435456,33554432,4.838408,0.019883,4.798039,55.9469,6.9934,0.125,0.113306
cpu,fma,2,67108864,268435456,335544320,4.789067,0.023604,4.746463,56.5548,70.6936,1.25,0.101308
cpu,cmp,2,67108864,268435456,67108864,4.961387,0.227229,4.815302,55.7463,13.9366,0.25,0.119562
cpu,fma,4,67108864,268435456,603979776,4.79051,0.011071,4.755108,56.452,127.017,2.25,0.110482
cpu,cmp,4,67108864,268435456,134217728,4.928877,0.185361,4.810202,55.8054,27.9027,0.5,0.127706
cpu,fma,8,67108864,268435456,1140850688,4.834957,0.056348,4.790585,56.034,238.1443,4.25,0.120207
cpu,cmp,8,67108864,268435456,268435456,5.038649,0.280827,4.824228,55.6432,55.6432,1,0.133963
cpu,fma,16,67108864,268435456,2214592512,4.983578,0.144744,4.877729,55.0329,454.0212,8.25,0.140274
cpu,cmp,16,67108864,268435456,536870912,5.017472,0.119394,4.87304,55.0858,110.1717,2,0.145364
cpu,fma,32,67108864,268435456,4362076160,5.337104,0.252192,5.222333,51.4014,835.2735,16.25,0.185692
cpu,cmp,32,67108864,268435456,1073741824,5.265925,0.276238,5.163544,51.9867,207.9467,4,0.177999
cpu,fma,64,67108864,268435456,8657043456,12.618101,0.740125,12.426575,21.6017,696.6556,32.25,0.350649
cpu,cmp,64,67108864,268435456,2147483648,9.834366,0.742445,9.572524,28.0423,224.3383,8,0.288014
cpu,fma,128,67108864,268435456,17246978048,30.750738,2.988695,29.663142,9.0495,581.4279,64.25,0.751822
cpu,cmp,128,67108864,268435456,4294967296,18.748883,0.926963,18.468432,14.5348,232.5572,16,0.485841
cpu,fma,256,67108864,268435456,34426847232,66.777883,4.070835,65.468307,4.1002,525.8552,128.25,1.523844
cpu,cmp,256,67108864,268435456,8589934592,37.092647,2.301369,36.331812,7.3884,236.4301,32,0.913471
cpu,cache_read,0,8192,268435456,0,1.139952,0.017097,1.106901,242.5108,0,0,0.022699
cpu,cache_read,0,16384,268435456,0,0.888497,0.012375,0.868435,309.1025,0,0,0.018484
cpu,cache_read,0,32768,268435456,0,0.725057,0.019107,0.701242,382.8,0,0,0.017173
cpu,cache_read,0,65536,268435456,0,0.687266,0.0195,0.659153,407.243,0,0,0.017138
cpu,cache_read,0,131072,268435456,0,0.688553,0.035621,0.652872,411.1609,0,0,0.017754
cpu,cache_read,0,262144,268435456,0,0.678301,0.022074,0.647132,414.8079,0,0,0.018834
cpu,cache_read,0,524288,268435456,0,0.678752,0.03541,0.64099,418.7826,0,0,0.018712
cpu,cache_read,0,1048576,268435456,0,0.668311,0.025162,0.637082,421.3515,0,0,0.016226
cpu,cache_read,0,2097152,268435456,0,0.684861,0.031061,0.642753,417.6339,0,0,0.020225
cpu,cache_read,0,4194304,268435456,0,0.775345,0.025571,0.729014,368.2171,0,0,0.023496
cpu,cache_read,0,8388608,268435456,0,1.678194,0.261006,1.220634,219.9148,0,0,0.045592
cpu,cache_read,0,16777216,268435456,0,3.731957,0.066702,3.632919,73.8897,0,0,0.083039
cpu,cache_read,0,33554432,268435456,0,4.775097,0.033708,4.625937,58.0283,0,0,0.100717
cpu,cache_read,0,67108864,268435456,0,4.792294,0.018268,4.744038,56.5837,0,0,0.098797
gpu,read,0,67108864,268435456,67108864,0.858283,0.038105,0.835704,321.2088,80.3022,0.25,0.045864
gpu,copy,0,67108864,536870912,0,1.752211,0.009408,1.737382,309.0114,0,0,0.094887
gpu,fma,0,67108864,268435456,67108864,0.792063,0.002462,0.786201,341.4336,85.3584,0.25,0.041574
gpu,cmp,0,67108864,268435456,0,0.7977,0.004897,0.788215,340.5612,0,0,0.04587
gpu,fma,1,67108864,268435456,201326592,0.791431,0.002071,0.78567,341.6644,256.2483,0.75,0.043528
gpu,cmp,1,67108864,268435456,33554432,0.793435,0.002505,0.787153,341.0207,42.6276,0.125,0.046043
gpu,fma,2,67108864,268435456,335544320,0.791578,0.002199,0.786011,341.5162,426.8952,1.25,0.044447
gpu,cmp,2,67108864,268435456,67108864,0.793054,0.002199,0.787573,340.8388,85.2097,0.25,0.044633
gpu,fma,4,67108864,268435456,603979776,0.791177,0.002466,0.786071,341.4901,768.3527,2.25,0.046758
gpu,cmp,4,67108864,268435456,134217728,0.795663,0.003155,0.789297,340.0944,170.0472,0.5,0.042843
gpu,fma,8,67108864,268435456,1140850688,0.794129,0.002304,0.788726,340.3406,1446.4474,4.25,0.048748
gpu,cmp,8,67108864,268435456,268435456,0.86288,0.009999,0.842606,318.5777,318.5777,1,0.049352
gpu,fma,16,67108864,268435456,2214592512,0.835048,0.023714,0.805628,333.2003,2748.9021,8.25,0.049057
gpu,cmp,16,67108864,268435456,536870912,0.991748,0.034111,0.976798,274.8116,549.6233,2,0.055973
gpu,fma,32,67108864,268435456,4362076160,1.27019,0.041009,1.082496,247.9782,4029.6464,16.25,0.074216
gpu,cmp,32,67108864,268435456,1073741824,1.321081,0.051414,1.217018,220.5682,882.2728,4,0.075553
